Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_7,Volume_Lag_7,Rolling_Mean_7,Rolling_Std_7,Rolling_Min_7,Rolling_Max_7,Rolling_Mean_14,Rolling_Std_14,Rolling_Min_14,Rolling_Max_14,Rolling_Mean_30,Rolling_Std_30,Rolling_Min_30,Rolling_Max_30,Year,Month,Day,DayOfWeek,Quarter,Month_Sin,Month_Cos
2018-07-18,116.03,116.35,115.83,116.31,5391963.0,118.54350000000002,121.2052,118.63580081656926,35.68726355611608,-1.2864244537892944,-1.1849057038510407,-0.10151874993825372,116.28,7939635.0,117.55,3670943.0,117.61,5444284.0,117.64,6974791.0,119.15,4075297.0,117.49285714285713,0.9469374193568108,116.28,118.93,118.035,0.9410693590163737,116.28,119.15,119.85100000000001,2.1741860942403117,116.28,123.38,2018,7,18,2,3,-0.4999999999999997,-0.8660254037844388
2018-07-19,115.13,116.47,115.12,115.81,14227628.0,118.321,121.02960000000002,118.36667692927695,35.06815365551432,-1.355015282310987,-1.21892761954303,-0.1360876627679568,116.31,5391963.0,116.28,7939635.0,117.55,3670943.0,118.13,4585460.0,118.93,3754770.0,117.04714285714286,0.8903316663907359,115.81,118.13,117.86285714285714,1.1099024806267803,115.81,119.15,119.614,2.2152396927929963,115.81,123.38,2018,7,19,3,3,-0.4999999999999997,-0.8660254037844388
2018-07-20,116.4,116.71,116.24,116.56,7892317.0,118.14650000000002,120.8742,118.194612459822,37.54469606674612,-1.3334837059982334,-1.241838836834071,-0.09164486916416248,115.81,14227628.0,116.31,5391963.0,116.28,7939635.0,117.61,5444284.0,117.64,6974791.0,116.89285714285714,0.8636495100317565,115.81,118.13,117.71357142857143,1.1361311350640522,115.81,119.15,119.404,2.1954397878426577,115.81,123.38,2018,7,20,4,3,-0.4999999999999997,-0.8660254037844388
2018-07-23,116.25,116.31,115.76,116.0,6247368.0,117.9295,120.69059999999999,117.98560174936276,40.59278350515468,-1.346090206539543,-1.2626891107751654,-0.0834010957643776,116.56,7892317.0,115.81,14227628.0,116.31,5391963.0,117.55,3670943.0,118.13,4585460.0,116.58857142857143,0.7180860805190518,115.81,117.61,117.60928571428573,1.2247477874546768,115.81,119.15,119.17033333333332,2.171323263039629,115.81,123.38,2018,7,23,0,3,-0.4999999999999997,-0.8660254037844388
2018-07-24,116.22,116.43,115.91,116.04,4801046.0,117.73700000000001,120.5114,117.80030634466155,30.2571860816944,-1.337436151903347,-1.277638519000802,-0.05979763290254514,116.0,6247368.0,116.56,7892317.0,115.81,14227628.0,116.28,7939635.0,117.61,5444284.0,116.36428571428573,0.5772595355783647,115.81,117.55,117.42285714285715,1.2524771060250548,115.81,119.15,118.93066666666665,2.1035240272710096,115.81,123.38,2018,7,24,1,3,-0.4999999999999997,-0.8660254037844388
2018-07-25,116.79,116.8366,116.27,116.68,5480914.0,117.60799999999999,120.35520000000001,117.69361050231282,32.70072992700739,-1.264360340984382,-1.2749828833975179,0.010622542413135871,116.04,4801046.0,116.0,6247368.0,116.56,7892317.0,116.31,5391963.0,117.55,3670943.0,116.24,0.31224989990001867,115.81,116.68,117.25357142857145,1.1732965206173303,115.81,119.15,118.72600000000001,2.0086152375173,115.81,123.38,2018,7,25,2,3,-0.4999999999999997,-0.8660254037844388
2018-07-26,116.24,116.51,115.77,115.77,6382946.0,117.4675,120.22099999999999,117.51040950209256,29.590488771466354,-1.2652911405095608,-1.2730445348199266,0.007753394310365813,116.68,5480914.0,116.04,4801046.0,116.0,6247368.0,115.81,14227628.0,116.28,7939635.0,116.16714285714285,0.3575711717192942,115.77,116.68,117.03285714285714,1.1379632856900372,115.77,119.15,118.47866666666667,1.8935184060355998,115.77,123.38,2018,7,26,3,3,-0.4999999999999997,-0.8660254037844388
2018-07-27,115.92,116.2399,115.77,115.83,5242099.0,117.348,120.09179999999998,117.35037050189325,27.3841961852861,-1.246814802353967,-1.2677985883267349,0.020983785972767954,115.77,6382946.0,116.68,5480914.0,116.04,4801046.0,116.56,7892317.0,116.31,5391963.0,116.09857142857143,0.37136812693316285,115.77,116.68,116.7957142857143,1.0004515464135892,115.77,118.93,118.227,1.7127234815084031,115.77,121.34,2018,7,27,4,3,-0.4999999999999997,-0.8660254037844388
2018-07-30,115.8,116.02,115.64,115.65,4157371.0,117.19800000000001,119.9576,117.1884304540939,27.534246575342493,-1.2324892975043866,-1.2607367301622652,0.028247432657878546,115.83,5242099.0,115.77,6382946.0,116.68,5480914.0,116.0,6247368.0,115.81,14227628.0,116.07571428571428,0.3961841803372032,115.65,116.68,116.56142857142858,0.8320859528829299,115.65,118.13,118.03733333333335,1.6706408708972587,115.65,121.11,2018,7,30,0,3,-0.4999999999999997,-0.8660254037844388
2018-07-31,115.47,116.35,115.394,115.99,5508456.0,117.12450000000001,119.8292,117.07429422037067,37.00787401574797,-1.1800976421663592,-1.244608912563084,0.06451127039672477,115.65,4157371.0,115.83,5242099.0,115.77,6382946.0,116.04,4801046.0,116.56,7892317.0,115.99428571428572,0.3337093117511896,115.65,116.68,116.44357142857143,0.7829687796510019,115.65,118.13,117.86666666666666,1.6062020599672993,115.65,120.8,2018,7,31,1,3,-0.4999999999999997,-0.8660254037844388
